,Ticker,Fiscal Date,Revenue (USD),Fiscal Year,Total Revenue,Market Share
160,FRT,2024-12-31,1202452000,2024,2479997933000,0.00048486008153459216
161,FRT,2023-12-31,1132154000,2023,2367952111000,0.0004781152434378771
162,FRT,2022-12-31,1074378000,2022,2233563149000,0.00048101527842676634
163,FRT,2021-12-31,951224000,2021,2050036470000,0.00046400345258248017
164,FRT,2020-12-31,835494000,2020,1820831850000,0.0004588529138481403
165,FRT,2019-12-31,935788000,2019,1667848375000,0.0005610749838096044
166,FRT,2018-12-31,915436000,2018,1584911418000,0.000577594425532746
167,FRT,2017-12-31,857348000,2017,1456241666000,0.0005887401933464524
168,FRT,2016-12-31,801591000,2016,1372156286000,0.0005841834550324685
169,FRT,2015-12-31,744012000,2015,1304704129000,0.000570253426399634
170,FRT,2014-12-31,686090000,2014,1221769594000,0.0005615543252748521
171,FRT,2013-12-31,637413000,2013,1171525917068,0.0005440878351161581
172,FRT,2012-12-31,608018000,2012,1120003482000,0.0005428715265369149
173,FRT,2011-12-31,553059000,2011,1046792430000,0.0005283368356035972
174,FRT,2010-12-31,544674000,2010,980998252000,0.0005552242309194247
175,FRT,2009-12-31,531019000,2009,951927858000,0.0005578353396607918
176,FRT,2008-12-31,520525000,2008,907379923893,0.0005736571708207436
177,FRT,2007-12-31,485892000,2007,853341811000,0.0005693990306540834
178,FRT,2006-12-31,451022000,2006,767562923000,0.0005876026401030317
179,FRT,2005-12-31,410330000,2005,122693850000,0.0033443404049999246
180,HD,2025-01-31,159514000000,2025,1400430642000,0.11390353453862802
181,HD,2024-01-31,152669000000,2024,2479997933000,0.06156013195354546
182,HD,2023-01-31,157403000000,2023,2367952111000,0.06647220578017847
183,HD,2022-01-31,151157000000,2022,2233563149000,0.06767527484847485
184,HD,2021-01-31,132110000000,2021,2050036470000,0.06444275598667765
185,HD,2020-01-31,110225000000,2020,1820831850000,0.06053551842252759
186,HD,2019-01-31,108203000000,2019,1667848375000,0.06487580143488762
187,HD,2018-01-31,100904000000,2018,1584911418000,0.06366538776490788
188,HD,2017-01-31,94595000000,2017,1456241666000,0.06495831166528372
189,HD,2016-01-31,88519000000,2016,1372156286000,0.0645108730712035
190,HD,2015-01-31,83176000000,2015,1304704129000,0.06375085212901936
191,HD,2014-01-31,78812000000,2014,1221769594000,0.06450643426308741
192,HD,2013-01-31,74754000000,2013,1171525917068,0.06380908771279106
193,HD,2012-01-31,70395000000,2012,1120003482000,0.06285248316754787
194,HD,2011-01-31,67997000000,2011,1046792430000,0.064957481589736
195,HD,2010-01-31,66176000000,2010,980998252000,0.06745781642840278
196,HD,2009-01-31,71288000000,2009,951927858000,0.07488802791187985
197,HD,2008-01-31,77349000000,2008,907379923893,0.08524433697865366
198,HD,2007-01-31,90837000000,2007,853341811000,0.10644855183358641
199,HD,2006-01-31,81511000000,2006,767562923000,0.10619455103617609
200,KIM,2024-12-31,2037014000,2024,2479997933000,0.0008213772974947072
201,KIM,2023-12-31,1783400000,2023,2367952111000,0.0007531402310525865
202,KIM,2022-12-31,1727684000,2022,2233563149000,0.0007735102545784345
203,KIM,2021-12-31,1364585000,2021,2050036470000,0.0006656393776253161
204,KIM,2020-12-31,1057893000,2020,1820831850000,0.000580994340581202
205,KIM,2019-12-31,1158884000,2019,1667848375000,0.0006948377426695037
206,KIM,2018-12-31,1164762000,2018,1584911418000,0.0007349066873843418
207,KIM,2017-12-31,1200834000,2017,1456241666000,0.0008246117578124564
208,KIM,2016-12-31,1170792000,2016,1372156286000,0.0008532497441767359
209,KIM,2015-12-31,1166769000,2015,1304704129000,0.0008942786138756828
210,KIM,2014-12-31,993897000,2014,1221769594000,0.0008134897159668552
211,KIM,2013-12-31,946673000,2013,1171525917068,0.0008080683373776795
212,KIM,2012-12-31,922304000,2012,1120003482000,0.0008234831541354083
213,KIM,2011-12-31,916288000,2011,1046792430000,0.0008753292188022414
214,KIM,2010-12-31,849549000,2010,980998252000,0.0008660046011988205
215,KIM,2009-12-31,844329000,2009,951927858000,0.0008869674239536752
216,KIM,2008-12-31,758704000,2008,907379923893,0.0008361481007259621
217,KIM,2007-12-31,681553000,2007,853341811000,0.0007986869871069753
218,KIM,2006-12-31,593880000,2006,767562923000,0.0007737215832140969
219,KIM,2005-12-31,522545000,2005,122693850000,0.004258933923745974
220,KR,2025-01-31,147123000000,2025,1400430642000,0.10505554190808687
221,KR,2024-01-31,150039000000,2024,2479997933000,0.06049964719869789
222,KR,2023-01-31,148258000000,2023,2367952111000,0.06261021889390735
223,KR,2022-01-31,137888000000,2022,2233563149000,0.061734542881285694
224,KR,2021-01-31,132498000000,2021,2050036470000,0.06463202091229138
225,KR,2020-01-31,122286000000,2020,1820831850000,0.0671594139788361
226,KR,2019-01-31,121162000000,2019,1667848375000,0.07264569238795462
227,KR,2018-01-31,122662000000,2018,1584911418000,0.07739359979801723
228,KR,2017-01-31,115337000000,2017,1456241666000,0.07920182665615337
229,KR,2016-01-31,109830000000,2016,1372156286000,0.08004190274867859
230,KR,2015-01-31,108465000000,2015,1304704129000,0.0831337907109513
231,KR,2014-01-31,98375000000,2014,1221769594000,0.08051845493873046
232,KR,2013-01-31,96751300000,2013,1171525917068,0.08258571030348291
233,KR,2012-01-31,90374400000,2012,1120003482000,0.08069117770832074
234,KR,2011-01-31,82189400000,2011,1046792430000,0.0785154703497426
235,KR,2010-01-31,76733200000,2010,980998252000,0.07821950736768489
236,KR,2009-01-31,76000000000,2009,951927858000,0.07983798284848598
237,KR,2008-01-31,70235000000,2008,907379923893,0.07740418114902248
238,KR,2007-01-31,66111000000,2007,853341811000,0.07747305844832206
239,KR,2006-01-31,60553000000,2006,767562923000,0.07888994919573519
240,LOW,2025-01-31,83674000000,2025,1400430642000,0.059748764051965095
241,LOW,2024-01-31,86377000000,2024,2479997933000,0.03482946451310611
242,LOW,2023-01-31,97059000000,2023,2367952111000,0.040988582306679934
243,LOW,2022-01-31,96250000000,2022,2233563149000,0.04309258058949109
244,LOW,2021-01-31,89597000000,2021,2050036470000,0.043705076134572377
245,LOW,2020-01-31,72148000000,2020,1820831850000,0.03962364783985957
246,LOW,2019-01-31,71309000000,2019,1667848375000,0.04275508557544987
247,LOW,2018-01-31,68619000000,2018,1584911418000,0.04329516414651762
248,LOW,2017-01-31,65017000000,2017,1456241666000,0.04464712246463081
249,LOW,2016-01-31,59074000000,2016,1372156286000,0.04305194721820485
250,LOW,2015-01-31,56223000000,2015,1304704129000,0.04309252860500452
