Ticker,Fiscal Date,Revenue (USD)
HD,2009-01-31,71288000000
HD,2008-01-31,77349000000
HD,2007-01-31,90837000000
HD,2006-01-31,81511000000
KIM,2024-12-31,2037014000
KIM,2023-12-31,1783400000
KIM,2022-12-31,1727684000
KIM,2021-12-31,1364585000
KIM,2020-12-31,1057893000
KIM,2019-12-31,1158884000
KIM,2018-12-31,1164762000
KIM,2017-12-31,1200834000
KIM,2016-12-31,1170792000
KIM,2015-12-31,1166769000
KIM,2014-12-31,993897000
KIM,2013-12-31,946673000
KIM,2012-12-31,922304000
KIM,2011-12-31,916288000
KIM,2010-12-31,849549000
KIM,2009-12-31,844329000
KIM,2008-12-31,758704000
KIM,2007-12-31,681553000
KIM,2006-12-31,593880000
KIM,2005-12-31,522545000
KR,2025-01-31,147123000000
KR,2024-01-31,150039000000
KR,2023-01-31,148258000000
KR,2022-01-31,137888000000
KR,2021-01-31,132498000000
KR,2020-01-31,122286000000
KR,2019-01-31,121162000000
KR,2018-01-31,122662000000
KR,2017-01-31,115337000000
KR,2016-01-31,109830000000
KR,2015-01-31,108465000000
KR,2014-01-31,98375000000
KR,2013-01-31,96751300000
KR,2012-01-31,90374400000
KR,2011-01-31,82189400000
KR,2010-01-31,76733200000
KR,2009-01-31,76000000000
KR,2008-01-31,70235000000
KR,2007-01-31,66111000000
KR,2006-01-31,60553000000
LOW,2025-01-31,83674000000
LOW,2024-01-31,86377000000
LOW,2023-01-31,97059000000
LOW,2022-01-31,96250000000
LOW,2021-01-31,89597000000
LOW,2020-01-31,72148000000
LOW,2019-01-31,71309000000
LOW,2018-01-31,68619000000
LOW,2017-01-31,65017000000
LOW,2016-01-31,59074000000
LOW,2015-01-31,56223000000
LOW,2014-01-31,53417000000
LOW,2013-01-31,50521000000
LOW,2012-01-31,50208000000
LOW,2011-01-31,48815000000
LOW,2010-01-31,47220000000
LOW,2009-01-31,48230000000
LOW,2008-01-31,48283000000
LOW,2007-01-31,46927000000
LOW,2006-01-31,43243000000
ORLY,2024-12-31,16708479000
ORLY,2023-12-31,15812250000
ORLY,2022-12-31,14409860000
ORLY,2021-12-31,13327563000
ORLY,2020-12-31,11604493000
ORLY,2019-12-31,10149985000
ORLY,2018-12-31,9536428000
ORLY,2017-12-31,8977726000
ORLY,2016-12-31,8593096000
ORLY,2015-12-31,7966674000
ORLY,2014-12-31,7216081000
ORLY,2013-12-31,6649237000
ORLY,2012-12-31,6182184000
ORLY,2011-12-31,5788816000
ORLY,2010-12-31,5397525000
ORLY,2009-12-31,4847062000
ORLY,2008-12-31,3576553000
ORLY,2007-12-31,2522319000
ORLY,2006-12-31,2283222000
ORLY,2005-12-31,2045318000
O,2024-12-31,5271142000
O,2023-12-31,4078993000
O,2022-12-31,3343681000
O,2021-12-31,2080463000
O,2020-12-31,1647087000
O,2019-12-31,1491591000
O,2018-12-31,1327838000
O,2017-12-31,1215768000
O,2016-12-31,1103172000
O,2015-12-31,1023285000
O,2014-12-31,933505000
O,2013-12-31,778375000
O,2012-12-31,475510000
O,2011-12-31,421059000
O,2010-12-31,345009000
O,2009-12-31,327581000
O,2008-12-31,330200000
O,2007-12-31,296513000
O,2006-12-31,240100000
O,2005-12-31,196676000
REG,2024-12-31,1453904000
REG,2023-12-31,1322466000
REG,2022-12-31,1224022000
REG,2021-12-31,1166161000
REG,2020-12-31,1016175000
REG,2019-12-31,1133138000
REG,2018-12-31,1120975000
REG,2017-12-31,984326000
REG,2016-12-31,614371000
REG,2015-12-31,569763000
REG,2014-12-31,537898000
REG,2013-12-31,489007000
REG,2012-12-31,496920000
REG,2011-12-31,500417000
REG,2010-12-31,486806000
REG,2009-12-31,489232000
REG,2008-12-31,493420893
REG,2007-12-31,451508000
REG,2006-12-31,420338000
REG,2005-12-31,394038000
ROST,2025-01-31,21129219000
ROST,2024-01-31,20376941000
ROST,2023-01-31,18695829000
ROST,2022-01-31,18916244000
ROST,2021-01-31,12531565000
ROST,2020-01-31,16039073000
ROST,2019-01-31,14983541000
ROST,2018-01-31,14134732000
ROST,2017-01-31,12866757000
ROST,2016-01-31,11939999000
ROST,2015-01-31,11041677000
ROST,2014-01-31,10230353000
ROST,2013-01-31,9721065000
ROST,2012-01-31,8608291000
ROST,2011-01-31,7866100000
ROST,2010-01-31,7184213000
ROST,2009-01-31,6486139000
ROST,2008-01-31,5975212000
ROST,2007-01-31,5570210000
ROST,2006-01-31,4944179000
SPG,2024-12-31,5963798000
SPG,2023-12-31,5658836000
SPG,2022-12-31,5291447000
SPG,2021-12-31,5116789000
SPG,2020-12-31,4607503000
SPG,2019-12-31,5755189000
SPG,2018-12-31,5657919000
SPG,2017-12-31,5538640000
SPG,2016-12-31,5435229000
SPG,2015-12-31,5266103000
SPG,2014-12-31,4870818000
SPG,2013-12-31,5170138000
SPG,2012-12-31,4880084000
SPG,2011-12-31,4306432000
SPG,2010-12-31,3957630000
SPG,2009-12-31,3775216000
SPG,2008-12-31,3783155000
SPG,2007-12-31,3650799000
SPG,2006-12-31,3332154000
SPG,2005-12-31,3166853000
TGT,2025-01-31,106566000000
TGT,2024-01-31,107412000000
TGT,2023-01-31,109120000000
TGT,2022-01-31,106005000000
TGT,2021-01-31,93561000000
TGT,2020-01-31,78112000000
TGT,2019-01-31,75356000000
TGT,2018-01-31,72714000000
TGT,2017-01-31,69495000000
TGT,2016-01-31,73785000000
TGT,2015-01-31,72618000000
TGT,2014-01-31,72596000000
TGT,2013-01-31,73301000000
TGT,2012-01-31,69865000000
TGT,2011-01-31,67390000000
TGT,2010-01-31,65357000000
TGT,2009-01-31,64948000000
TGT,2008-01-31,63367000000
TGT,2007-01-31,59490000000
TGT,2006-01-31,52620000000
TJX,2025-01-31,56360000000
TJX,2024-01-31,54217000000
TJX,2023-01-31,49936000000
TJX,2022-01-31,48550000000
TJX,2021-01-31,32137000000
TJX,2020-01-31,41716977000
TJX,2019-01-31,38972934000
TJX,2018-01-31,35864664000
TJX,2017-01-31,33183744000
TJX,2016-01-31,30944938000
TJX,2015-01-31,29078407000
TJX,2014-01-31,27422696000
TJX,2013-01-31,25878372000
TJX,2012-01-31,23191455000
TJX,2011-01-31,21942193000
TJX,2010-01-31,20288444000
TJX,2009-01-31,18999505000
TJX,2008-01-31,18336726000
TJX,2007-01-31,17104013000
TJX,2006-01-31,15955943000
TSCO,2024-12-31,14883231000
TSCO,2023-12-31,14555741000
TSCO,2022-12-31,14204717000
TSCO,2021-12-31,12731105000
TSCO,2020-12-31,10620352000
